 tach0, tach1, tach2, tach3, tach4, tach5, tach6, tach7, tach8, tach9, tach10, tach11, tach12, tach13, tach14, tach15, tach16, tach17, tach18, tach19, tach20, tach21, tach22, tach23, tach24, tach25, tach26, tach27, tach28, tach29, tach30, tach31, tach32, tach33, tach34, tach35, tach36, tach37, tach38, tach39, tach40, tach41, tach42, tach43, tach44, tach45, tach46, tach47, tach48, tach49, tach50, tach51, tach52, tach53, tach54, tach55, tach56, tach57, tach58, tach59, tach60, tach61, tach62, tach63, tach64, tach65, tach66, tach67, tach68, tach69, tach70, tach71, tach72, tach73, tach74, tach75, tach76, tach77, tach78, tach79, tach80, tach81, tach82, tach83, tach84, tach85
255,255,255,255,255,248,221,234,234,228,241,254,241,214,208,214,214,221,214,208,181,100,53,40,40,40,46,53,40,40,20,0,13,26,33,26,40,67,53,60,53,87,100,107,93,67,67,80,100,100,107,107,107,114,114,100,140,120,140,147,114,87,114,114,120,87,73,60,53,53,67,80,107,107,114,114,107,100,120,120,107,80,67,60,53,53
255,254,249,238,228,223,223,249,217,212,223,228,244,254,244,249,217,223,196,169,111,58,47,53,47,31,53,69,42,15,0,0,10,21,26,26,47,37,37,31,47,74,79,69,74,74,84,84,84,111,138,116,111,132,106,106,116,127,122,111,90,79,79,84,106,122,111,111,116,111,116,122,132,138,138,132,116,111,84,90,100,84,90,106,132,122
255,255,255,245,235,254,210,230,230,215,210,225,215,240,245,230,235,200,171,166,107,68,44,49,49,34,34,44,34,14,0,4,29,39,39,29,14,24,19,29,44,68,83,83,78,49,39,39,39,49,39,29,24,44,58,83,78,78,73,29,29,14,19,34,63,63,53,49,34,19,24,29,24,29,44,34,34,44,49,63,68,73,78,88,88,68
255,255,255,228,220,237,254,241,241,237,228,220,224,190,185,177,181,190,181,151,103,47,47,60,56,38,34,25,17,8,0,8,34,51,56,56,60,60,47,51,56,56,60,64,73,73,60,64,64,73,73,60,73,82,82,108,108,103,112,64,34,38,38,73,90,69,64,51,43,30,30,43,43,56,69,73,69,82,82,60,60,69,60,64,86,90
239,239,244,239,224,224,229,239,244,255,219,209,198,193,188,173,153,117,102,71,25,5,15,20,30,30,30,30,15,0,5,10,5,10,0,5,15,20,20,40,40,66,86,71,71,66,51,56,71,86,117,112,107,127,122,142,147,137,147,107,91,56,30,51,61,51,51,51,40,51,61,51,56,66,56,66,40,35,40,25,35,56,61,40,56,40
255,255,250,236,255,254,250,250,254,250,227,195,191,177,141,127,136,150,150,104,81,68,36,40,36,31,31,45,27,9,0,9,9,27,31,40,63,59,36,40,45,45,72,81,81,77,72,68,72,86,81,63,59,63,63,86,100,109,113,77,50,54,63,81,104,81,68,45,22,27,45,54,81,86,63,91,63,59,50,40,45,59,72,77,86,68
205,186,205,186,186,240,245,254,225,225,215,210,215,205,210,225,186,156,107,58,19,0,0,9,19,24,34,39,9,4,9,14,14,9,9,4,19,24,39,34,49,63,83,98,112,88,88,88,93,93,83,78,53,39,34,44,58,73,78,63,44,44,44,49,73,83,29,29,24,19,34,49,68,88,102,88,73,73,53,34,44,53,63,68,63,53
255,255,255,255,255,249,255,234,255,249,239,244,214,198,219,234,229,239,249,209,158,107,76,66,51,56,45,51,66,61,25,5,5,0,10,20,20,30,45,51,61,76,107,112,112,107,96,91,56,61,66,81,81,86,91,96,102,132,122,132,107,81,86,107,91,112,122,122,107,76,66,81,91,91,81,66,61,66,66,66,66,56,45,56,61,86
255,235,240,255,230,215,230,220,200,215,220,205,235,250,255,235,230,205,170,130,115,105,70,60,55,30,30,25,25,30,20,5,0,5,10,25,25,30,45,35,35,35,55,70,80,80,70,45,45,50,50,70,70,75,85,80,100,120,120,120,105,80,55,80,95,130,105,90,65,50,40,55,75,70,85,90,70,65,65,60,65,75,70,80,85,100
255,255,255,255,249,207,195,201,219,231,254,249,231,213,189,195,213,213,231,219,136,83,35,29,35,41,41,47,47,35,23,5,0,35,29,41,23,35,41,41,35,47,59,77,94,83,83,88,71,88,94,106,112,94,94,106,100,130,130,136,130,106,100,100,106,100,71,65,53,47,47,65,71,83,94,100,100,88,88,100,88,83,94,94,112,124
